publication_title,plant_family,plant_genus,plant_species,plant_growth_form,plant_life_history,plant_geographic_source,insect_order,insect_family,insect_genus,insect_species,insect_sex,poly_or_mono,insect_geographic_source,insect_life_stage,study_design,paper_source,plant_status,insect_status,biocontrol_study,study_type,notes,plant_genus_species,insect_genus_species,response_measure,plant_organ_afflicted,response_type_or_metric,response_units,response_measure,error_type,response_c,error_c,n_c,response_t,error_t,n_t,hedges_d,var_hedges_d
seasonal changes in response of senecio ovatus to grazing by the chrysomelid beetle chrysomela speciosissima,asteraceae,senecio,ovatus,forb,perennial,central europe,coleoptera,chrysomelidae,chrysomela, speciosissima,unclear,polyphagous,central europe,unclear,chemical,table 1,native,native,no,a,,senecio_ovatus,chrysomela_ speciosissima,area,leaves,area,m^2,x,sd,0.02387,0.016492423,68,0.0231,0.016575367,73,-0.046314939,0.028412119
seasonal changes in response of senecio ovatus to grazing by the chrysomelid beetle chrysomela speciosissima,asteraceae,senecio,ovatus,forb,perennial,central europe,coleoptera,chrysomelidae,chrysomela, speciosissima,unclear,polyphagous,central europe,unclear,chemical,table 1,native,native,no,a,,senecio_ovatus,chrysomela_ speciosissima,length,stem,length,m,x,sd,0.628,0.16,100,0.513,0.14,100,-0.762067349,0.021451867
seasonal changes in response of senecio ovatus to grazing by the chrysomelid beetle chrysomela speciosissima,asteraceae,senecio,ovatus,forb,perennial,central europe,coleoptera,chrysomelidae,chrysomela, speciosissima,unclear,polyphagous,central europe,unclear,chemical,table 1,native,native,no,a,,senecio_ovatus,chrysomela_ speciosissima,area,leaves,area,m^2,x,sd,0.03269,0.0165,100,0.0228,0.0123,100,-0.677039188,0.021145955
seasonal changes in response of senecio ovatus to grazing by the chrysomelid beetle chrysomela speciosissima,asteraceae,senecio,ovatus,forb,perennial,central europe,coleoptera,chrysomelidae,chrysomela, speciosissima,unclear,polyphagous,central europe,unclear,chemical,table 1,native,native,no,a,,senecio_ovatus,chrysomela_ speciosissima,biomass,whole organism,mass,g,x,sd,5.2,3,100,4.1,2,100,-0.42981913,0.020461861
seasonal changes in response of senecio ovatus to grazing by the chrysomelid beetle chrysomela speciosissima,asteraceae,senecio,ovatus,forb,perennial,central europe,coleoptera,chrysomelidae,chrysomela, speciosissima,unclear,polyphagous,central europe,unclear,chemical,table 1,native,native,no,a,,senecio_ovatus,chrysomela_ speciosissima,number of,leaves,count,count,x,sd,29.2,15,100,24.6,11,100,-0.348405108,0.020303465
seasonal changes in response of senecio ovatus to grazing by the chrysomelid beetle chrysomela speciosissima,asteraceae,senecio,ovatus,forb,perennial,central europe,coleoptera,chrysomelidae,chrysomela, speciosissima,unclear,polyphagous,central europe,unclear,chemical,table 1,native,native,no,a,,senecio_ovatus,chrysomela_ speciosissima,diameter,stem,diameter,m,x,sd,0.0054,0.002,100,0.0057,0.002,100,0.1494311,0.020055824
seasonal changes in response of senecio ovatus to grazing by the chrysomelid beetle chrysomela speciosissima,asteraceae,senecio,ovatus,forb,perennial,central europe,coleoptera,chrysomelidae,chrysomela, speciosissima,unclear,polyphagous,central europe,unclear,chemical,table 1,native,native,no,a,,senecio_ovatus,chrysomela_ speciosissima,area,leaves,area,m^2,x,sd,0.00115,0.0004,100,0.00119,0.0004,100,0.099620733,0.020024811
"the effect of inbreeding on defence against multiple enemies in datura stramonium""",solanaceae,datura,stramonium,forb,annual,north america & mexico,coleoptera,chrysomelidae,epitrix,parvula,unclear,monophagous,unknown,unclear,chemical,fig 2,native,native,no,a,treatment is pesticide,datura_stramonium,epitrix_parvula,number of,leaves,count,count,x,sd,1469.01,2122.428856,388,1580.99,2455.32025,388,0.048747464,0.00515617
invader partitions ecological and evolutionary responses to above- and belowground herbivory,euphorbiaceae,triadica,sebifera,tree,perennial,eastern asia,coleoptera,chrysomelidae,bikasha,collaris,unclear,monophagous,china,both,cage,figure 1,invasive,native,no,c,"10 larvae, 10 adults
invasive locality planted in native range",triadica_sebifera,bikasha_collaris,biomass,roots,mass,g,x,sd,2.802,0.271931977,3,0.662,0.185329436,3,-7.357267734,5.177449043
invader partitions ecological and evolutionary responses to above- and belowground herbivory,euphorbiaceae,triadica,sebifera,tree,perennial,eastern asia,coleoptera,chrysomelidae,bikasha,collaris,unclear,monophagous,china,both,cage,figure 1,invasive,native,no,c,"10 larvae, 10 adults
invasive locality planted in native range",triadica_sebifera,bikasha_collaris,biomass,stem,mass,g,x,sd,6.611,0.888542064,3,1.661,0.29964479,3,-5.972320818,3.63905133
invader partitions ecological and evolutionary responses to above- and belowground herbivory,euphorbiaceae,triadica,sebifera,tree,perennial,eastern asia,coleoptera,chrysomelidae,bikasha,collaris,unclear,monophagous,china,larval,cage,figure 1,invasive,native,no,c,"10 larvae
invasive locality planted in native range",triadica_sebifera,bikasha_collaris,biomass,roots,mass,g,x,sd,2.802,0.271931977,3,2.133,0.313501196,3,-1.82379786,0.94385322
invader partitions ecological and evolutionary responses to above- and belowground herbivory,euphorbiaceae,triadica,sebifera,tree,perennial,eastern asia,coleoptera,chrysomelidae,bikasha,collaris,unclear,monophagous,china,adult,cage,figure 1,invasive,native,no,c,"10 adults
invasive locality planted in native range",triadica_sebifera,bikasha_collaris,biomass,stem,mass,g,x,sd,6.611,0.888542064,3,4.909,0.801939524,3,-1.608792175,0.882351022
invader partitions ecological and evolutionary responses to above- and belowground herbivory,euphorbiaceae,triadica,sebifera,tree,perennial,eastern asia,coleoptera,chrysomelidae,bikasha,collaris,unclear,monophagous,china,larval,cage,figure 1,invasive,native,no,c,"10 larvae
invasive locality planted in native range",triadica_sebifera,bikasha_collaris,biomass,stem,mass,g,x,sd,6.611,0.888542064,3,5.281,0.528275496,3,-1.455635701,0.843239608
invader partitions ecological and evolutionary responses to above- and belowground herbivory,euphorbiaceae,triadica,sebifera,tree,perennial,eastern asia,coleoptera,chrysomelidae,bikasha,collaris,unclear,monophagous,china,adult,cage,figure 1,invasive,native,no,c,"10 adults
invasive locality planted in native range",triadica_sebifera,bikasha_collaris,biomass,roots,mass,g,x,sd,2.802,0.271931977,3,2.397,0.34294606,3,-1.046908504,0.758001451
"impact of the native water lily leaf beetle,galerucella nymphaeae(coleoptera: chrysomelidae), attacking introduced water chestnut,trapa natans,in the northeastern united states   impact of the native water lily leaf beetle, galerucella nymphaeae (coleoptera: chrysomelidae), attacking introduced water chestnut, trapa natans, in the northeastern united states. available from: https://www.researchgate.net/publication/233615596_impact_of_the_native_water_lily_leaf_beetle_galerucella_nymphaeae_coleoptera_chrysomelidae_attacking_introduced_water_chestnut_trapa_natans_in_the_northeastern_united_states",lythraceae,trapa,natans,forb,annual,china,coleoptera,chrysomelidae,galerucella,nymphaeae,unclear,polyphagous,north america,larval,cage,fig 5,invasive,native,no,c,20 larvae,trapa_natans,galerucella_nymphaeae,number of,fruit,count,count,x,sd,2.876,0.683051975,10,3.211,1.881555208,10,0.226678847,0.201284582
"impact of the native water lily leaf beetle,galerucella nymphaeae(coleoptera: chrysomelidae), attacking introduced water chestnut,trapa natans,in the northeastern united states   impact of the native water lily leaf beetle, galerucella nymphaeae (coleoptera: chrysomelidae), attacking introduced water chestnut, trapa natans, in the northeastern united states. available from: https://www.researchgate.net/publication/233615596_impact_of_the_native_water_lily_leaf_beetle_galerucella_nymphaeae_coleoptera_chrysomelidae_attacking_introduced_water_chestnut_trapa_natans_in_the_northeastern_united_states",lythraceae,trapa,natans,forb,annual,china,coleoptera,chrysomelidae,galerucella,nymphaeae,unclear,polyphagous,north america,larval,cage,fig 5,invasive,native,no,c,50 larvae,trapa_natans,galerucella_nymphaeae,biomass,whole organism,mass,g,x,sd,0.563,0.920222799,10,0.8,1.233288287,10,0.208612574,0.20108798
"impact of the native water lily leaf beetle,galerucella nymphaeae(coleoptera: chrysomelidae), attacking introduced water chestnut,trapa natans,in the northeastern united states   impact of the native water lily leaf beetle, galerucella nymphaeae (coleoptera: chrysomelidae), attacking introduced water chestnut, trapa natans, in the northeastern united states. available from: https://www.researchgate.net/publication/233615596_impact_of_the_native_water_lily_leaf_beetle_galerucella_nymphaeae_coleoptera_chrysomelidae_attacking_introduced_water_chestnut_trapa_natans_in_the_northeastern_united_states",lythraceae,trapa,natans,forb,annual,china,coleoptera,chrysomelidae,galerucella,nymphaeae,unclear,polyphagous,north america,larval,cage,fig 5,invasive,native,no,c,10 larvae,trapa_natans,galerucella_nymphaeae,biomass,whole organism,mass,g,x,sd,0.563,0.920222799,10,0.725,0.819029914,10,0.17811441,0.200793119
"impact of the native water lily leaf beetle,galerucella nymphaeae(coleoptera: chrysomelidae), attacking introduced water chestnut,trapa natans,in the northeastern united states   impact of the native water lily leaf beetle, galerucella nymphaeae (coleoptera: chrysomelidae), attacking introduced water chestnut, trapa natans, in the northeastern united states. available from: https://www.researchgate.net/publication/233615596_impact_of_the_native_water_lily_leaf_beetle_galerucella_nymphaeae_coleoptera_chrysomelidae_attacking_introduced_water_chestnut_trapa_natans_in_the_northeastern_united_states",lythraceae,trapa,natans,forb,annual,china,coleoptera,chrysomelidae,galerucella,nymphaeae,unclear,polyphagous,north america,larval,cage,fig 5,invasive,native,no,c,20 larvae,trapa_natans,galerucella_nymphaeae,biomass,whole organism,mass,g,x,sd,0.563,0.920222799,10,0.714,0.958170131,10,0.15395098,0.200592523
"impact of the native water lily leaf beetle,galerucella nymphaeae(coleoptera: chrysomelidae), attacking introduced water chestnut,trapa natans,in the northeastern united states   impact of the native water lily leaf beetle, galerucella nymphaeae (coleoptera: chrysomelidae), attacking introduced water chestnut, trapa natans, in the northeastern united states. available from: https://www.researchgate.net/publication/233615596_impact_of_the_native_water_lily_leaf_beetle_galerucella_nymphaeae_coleoptera_chrysomelidae_attacking_introduced_water_chestnut_trapa_natans_in_the_northeastern_united_states",lythraceae,trapa,natans,forb,annual,china,coleoptera,chrysomelidae,galerucella,nymphaeae,unclear,polyphagous,north america,larval,cage,fig 5,invasive,native,no,c,10 larvae,trapa_natans,galerucella_nymphaeae,number of,fruit,count,count,x,sd,2.876,0.683051975,10,2.865,0.958170131,10,-0.01266159,0.200004008
"impact of the native water lily leaf beetle,galerucella nymphaeae(coleoptera: chrysomelidae), attacking introduced water chestnut,trapa natans,in the northeastern united states   impact of the native water lily leaf beetle, galerucella nymphaeae (coleoptera: chrysomelidae), attacking introduced water chestnut, trapa natans, in the northeastern united states. available from: https://www.researchgate.net/publication/233615596_impact_of_the_native_water_lily_leaf_beetle_galerucella_nymphaeae_coleoptera_chrysomelidae_attacking_introduced_water_chestnut_trapa_natans_in_the_northeastern_united_states",lythraceae,trapa,natans,forb,annual,china,coleoptera,chrysomelidae,galerucella,nymphaeae,unclear,polyphagous,north america,larval,cage,fig 5,invasive,native,no,c,50 larvae,trapa_natans,galerucella_nymphaeae,number of,fruit,count,count,x,sd,2.876,0.683051975,10,2.876,0.992955185,10,0,0.2
effects of leaf and root herbivory by potential insect biological control agents on the performance of invasive vincetoxicum spp.?,asclepiadaceae,cynanchum,louiseae,forb,perennial,mediterranean europe,coleoptera,chrysomelidae,eumolpus,asclepiadeus,unclear,monophagous,europe and caucasus,larval,cage,figure 1 and 2,invasive,introduced,yes,d,20 larvae,cynanchum_louiseae,eumolpus_asclepiadeus,biomass,roots,mass,g,x,sd,15.133,0.147,9,9.123,0.3855,9,-19.61985685,10.91496619
response of the weed parthenium hysterophorus (asteraceae) to defoliation by the introduced biocontrol agent zygogramma bicolorata (coleoptera: chrysomelidae),asteraceae,parthenium,hysterophorus,forb,annual,american tropics,coleoptera,chrysomelidae,zygogramma,bicolorata,both,monophagous,mexico,adult,cage,table 2,invasive,introduced,yes,d,,parthenium_hysterophorus,zygogramma_bicolorata,number of,leaves,count,count,x,sd,4121,253,10,339,63,10,-19.64730083,9.850410746
effects of leaf and root herbivory by potential insect biological control agents on the performance of invasive vincetoxicum spp.?,asclepiadaceae,cynanchum,rossicum,forb,perennial,southern europe,coleoptera,chrysomelidae,eumolpus,asclepiadeus,unclear,monophagous,europe and caucasus,larval,cage,figure 1 and 2,invasive,introduced,yes,d,5 larvae,cynanchum_rossicum,eumolpus_asclepiadeus,biomass,roots,mass,g,x,sd,23.431,0.138592929,8,21.131,0.168291414,8,-14.10586038,6.467978032
effects of leaf and root herbivory by potential insect biological control agents on the performance of invasive vincetoxicum spp.?,asclepiadaceae,cynanchum,rossicum,forb,perennial,southern europe,coleoptera,chrysomelidae,eumolpus,asclepiadeus,unclear,monophagous,europe and caucasus,larval,cage,figure 1 and 2,invasive,introduced,yes,d,60 larvae,cynanchum_rossicum,eumolpus_asclepiadeus,biomass,stem,mass,g,x,sd,2.17,0.070710678,8,1.306,0.079195959,8,-10.88100236,3.949881635
response of the weed parthenium hysterophorus (asteraceae) to defoliation by the introduced biocontrol agent zygogramma bicolorata (coleoptera: chrysomelidae),asteraceae,parthenium,hysterophorus,forb,annual,american tropics,coleoptera,chrysomelidae,zygogramma,bicolorata,both,monophagous,mexico,adult,cage,table 2,invasive,introduced,yes,d,,parthenium_hysterophorus,zygogramma_bicolorata,length,stem,length,m,x,sd,1.388,0.031,10,1.019,0.027,10,-12.1576203,3.895193285
effects of leaf and root herbivory by potential insect biological control agents on the performance of invasive vincetoxicum spp.?,asclepiadaceae,cynanchum,louiseae,forb,perennial,mediterranean europe,coleoptera,chrysomelidae,eumolpus,asclepiadeus,unclear,monophagous,europe and caucasus,larval,cage,figure 1 and 2,invasive,introduced,yes,d,5 larvae,cynanchum_louiseae,eumolpus_asclepiadeus,biomass,roots,mass,g,x,sd,15.133,0.147,9,13.086,0.2115,9,-10.70413841,3.404960534
response of the weed parthenium hysterophorus (asteraceae) to defoliation by the introduced biocontrol agent zygogramma bicolorata (coleoptera: chrysomelidae),asteraceae,parthenium,hysterophorus,forb,annual,american tropics,coleoptera,chrysomelidae,zygogramma,bicolorata,both,monophagous,mexico,adult,cage,table 2,invasive,introduced,yes,d,,parthenium_hysterophorus,zygogramma_bicolorata,number of,flower,count,count,x,sd,8657,888,10,1495,227,10,-10.58379368,3.000417217
effects of leaf and root herbivory by potential insect biological control agents on the performance of invasive vincetoxicum spp.?,asclepiadaceae,cynanchum,rossicum,forb,perennial,southern europe,coleoptera,chrysomelidae,eumolpus,asclepiadeus,unclear,monophagous,europe and caucasus,larval,cage,figure 1 and 2,invasive,introduced,yes,d,20 larvae,cynanchum_rossicum,eumolpus_asclepiadeus,biomass,stem,mass,g,x,sd,2.17,0.070710678,8,1.337,0.104651804,8,-8.818466773,2.680167382
response of the weed parthenium hysterophorus (asteraceae) to defoliation by the introduced biocontrol agent zygogramma bicolorata (coleoptera: chrysomelidae),asteraceae,parthenium,hysterophorus,forb,annual,american tropics,coleoptera,chrysomelidae,zygogramma,bicolorata,both,monophagous,mexico,adult,cage,table 2,invasive,introduced,yes,d,,parthenium_hysterophorus,zygogramma_bicolorata,biomass,roots,mass,g,x,sd,4.5,0.4,10,1.4,0.2,10,-9.388846912,2.403761159
effects of leaf and root herbivory by potential insect biological control agents on the performance of invasive vincetoxicum spp.?,asclepiadaceae,cynanchum,louiseae,forb,perennial,mediterranean europe,coleoptera,chrysomelidae,eumolpus,asclepiadeus,unclear,monophagous,europe and caucasus,larval,cage,figure 1 and 2,invasive,introduced,yes,d,60 larvae,cynanchum_louiseae,eumolpus_asclepiadeus,biomass,stem,mass,g,x,sd,1.691,0.0465,9,0.895,0.1215,9,-8.241017624,2.108732541
response of the weed parthenium hysterophorus (asteraceae) to defoliation by the introduced biocontrol agent zygogramma bicolorata (coleoptera: chrysomelidae),asteraceae,parthenium,hysterophorus,forb,annual,american tropics,coleoptera,chrysomelidae,zygogramma,bicolorata,both,monophagous,mexico,adult,cage,table 2,invasive,introduced,yes,d,,parthenium_hysterophorus,zygogramma_bicolorata,biomass,stem,mass,g,x,sd,66.6,8.7,10,12.6,1.8,10,-8.2326238,1.894402366
effects of leaf and root herbivory by potential insect biological control agents on the performance of invasive vincetoxicum spp.?,asclepiadaceae,cynanchum,rossicum,forb,perennial,southern europe,coleoptera,chrysomelidae,eumolpus,asclepiadeus,unclear,monophagous,europe and caucasus,larval,cage,figure 1 and 2,invasive,introduced,yes,d,5 larvae,cynanchum_rossicum,eumolpus_asclepiadeus,biomass,stem,mass,g,x,sd,2.17,0.070710678,8,2.891,0.114551299,8,7.161233814,1.852602179
"an integrated management strategy for the control of purple loosestrife lythrum salicaria l. (lythraceae) in the netley-libau marsh, southern manitoba",lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,both,monophagous,europe and asia,adult,cage,table 1,invasive,introduced,yes,d,1997,lythrum_salicaria,galerucella_calmariensis,length,stem,length,m,x,sd,176.1,6.408587988,3,145.5,7.794228634,3,-3.43091426,1.647597721
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,length,stem,length,m,x,sd,1.10323,0.177908066,8,0.39677,0.082137524,8,-4.820474161,0.976155348
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,number of,leaves,count,count,x,sd,169.198,44.12346315,8,10.2,6.788225099,8,-4.762094642,0.958673293
response of the weed parthenium hysterophorus (asteraceae) to defoliation by the introduced biocontrol agent zygogramma bicolorata (coleoptera: chrysomelidae),asteraceae,parthenium,hysterophorus,forb,annual,american tropics,coleoptera,chrysomelidae,zygogramma,bicolorata,both,monophagous,mexico,adult,cage,table 2,invasive,introduced,yes,d,,parthenium_hysterophorus,zygogramma_bicolorata,length,roots,length,m,x,sd,0.316,0.027,10,0.202,0.018,10,-4.758348293,0.766046962
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,number of,leaves,count,count,x,sd,81.923,24.47720834,8,7.789,4.896007353,8,-3.970933384,0.742759748
"an integrated management strategy for the control of purple loosestrife lythrum salicaria l. (lythraceae) in the netley-libau marsh, southern manitoba",lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,both,monophagous,europe and asia,adult,cage,table 1,invasive,introduced,yes,d,1997,lythrum_salicaria,galerucella_calmariensis,number of,stem,count,count,x,sd,184.7,64.95190528,3,125,35.68024664,3,-0.911424657,0.735891242
"an integrated management strategy for the control of purple loosestrife lythrum salicaria l. (lythraceae) in the netley-libau marsh, southern manitoba",lythraceae,lythrum,salicaria,forb,perennial,"europe, asia, northwest africa, and southeastern australia",coleoptera,chrysomelidae,galerucella,calmariensis,both,monophagous,europe and asia,adult,cage,table 1,invasive,introduced,yes,d,1998,lythrum_salicaria,galerucella_calmariensis,number of,stem,count,count,x,sd,181.3,74.82459489,3,133.3,208.8853274,3,-0.244750374,0.671658562
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,biomass,stem,mass,g,x,sd,57.391,22.48599564,8,7.205,4.217184843,8,-2.933049867,0.518836922
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,number of,leaves,count,count,x,sd,68.915,31.35028625,8,3.374,3.405426258,8,-2.778945285,0.491329278
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,biomass,stem,mass,g,x,sd,22.89,7.61412582,8,6.853,3.032073878,8,-2.616352954,0.463915712
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,number of,flower,count,count,x,sd,464.485,208.8284315,8,107.477,39.64889143,8,-2.245711723,0.407600661
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,length,stem,length,m,x,sd,1.09355,0.191597653,8,0.71129,0.136867589,8,-2.17066851,0.397243806
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,biomass,stem,mass,g,x,sd,3.115,0.90509668,8,1.409,0.596798123,8,-2.104009747,0.388339282
effects of leaf and root herbivory by potential insect biological control agents on the performance of invasive vincetoxicum spp.?,asclepiadaceae,cynanchum,louiseae,forb,perennial,mediterranean europe,coleoptera,chrysomelidae,eumolpus,asclepiadeus,unclear,monophagous,europe and caucasus,larval,cage,figure 1 and 2,invasive,introduced,yes,d,20 larvae,cynanchum_louiseae,eumolpus_asclepiadeus,biomass,stem,mass,g,x,sd,1.691,0.0465,9,1.418,0.1485,9,-2.362928567,0.377317539
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,number of,flower,count,count,x,sd,7003.093,4424.907359,8,807.449,636.8401661,8,-1.853045166,0.357305512
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,number of,flower,count,count,x,sd,88.818,34.25508091,8,39.13,13.17481355,8,-1.810195922,0.35240029
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,length,stem,length,m,x,sd,0.97742,0.150528892,8,0.61452,0.246327718,8,-1.680836745,0.33828788
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,number of,leaves,count,count,x,sd,89.135,74.24621202,8,2.597,6.525181377,8,-1.552449299,0.325315588
effects of leaf and root herbivory by potential insect biological control agents on the performance of invasive vincetoxicum spp.?,asclepiadaceae,cynanchum,louiseae,forb,perennial,mediterranean europe,coleoptera,chrysomelidae,eumolpus,asclepiadeus,unclear,monophagous,europe and caucasus,larval,cage,figure 1 and 2,invasive,introduced,yes,d,5 larvae,cynanchum_louiseae,eumolpus_asclepiadeus,biomass,stem,mass,g,x,sd,1.691,0.0465,9,1.871,0.1215,9,1.863546699,0.318689064
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,biomass,stem,mass,g,x,sd,40.248,25.2974522,8,10.932,7.730091332,8,-1.481834319,0.31861978
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,number of,leaves,count,count,x,sd,112.798,100.1263202,8,3,6.788225099,8,-1.462870969,0.316874734
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,number of,flower,count,count,x,sd,113.972,108.9170717,8,0.621,4.392547325,8,-1.390375668,0.310410766
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,number of,flower,count,count,x,sd,4751.547,3908.841032,8,916.146,527.0349683,8,-1.300188254,0.302827797
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,length,stem,length,m,x,sd,0.66951,0.093140105,8,0.53341,0.1055569,8,-1.292680253,0.302219445
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,biomass,stem,mass,g,x,sd,33.292,16.16163259,8,15.155,9.840097967,8,-1.281633601,0.301330771
impact of defoliation by the biocontrol agent zygogramma bicolorata on the weed parthenium hysterophorus in australia,asteraceae,parthenium,hysterophorus,forb,annual,mexico,coleoptera,chrysomelidae,zygogramma,bicolorata,unclear,monophagous,mexico,unclear,cage,figure 1,invasive,introduced,yes,d,natural field study,parthenium_hysterophorus,zygogramma_bicolorata,number of,flower,count,count,x,sd,683.227,625.8545552,8,108.692,175.682094,8,-1.181758992,0.293642322
